Date,Open,High,Low,Close,Volume
1/8/2018,43.587502,43.9025,43.482498,43.587502,82271200
1/9/2018,43.637501,43.764999,43.352501,43.5825,86336000
1/10/2018,43.290001,43.575001,43.25,43.572498,95839600
1/11/2018,43.647499,43.872501,43.622501,43.82,74670800
1/12/2018,44.044998,44.34,43.912498,44.272499,101672400
1/16/2018,44.474998,44.8475,44.035,44.047501,118263600
1/17/2018,44.037498,44.8125,43.767502,44.775002,137547200
1/18/2018,44.842499,45.025002,44.5625,44.814999,124773600
1/19/2018,44.6525,44.895,44.352501,44.615002,129700400
1/22/2018,44.325001,44.445,44.150002,44.25,108434400
1/23/2018,44.325001,44.860001,44.205002,44.259998,130756400
1/24/2018,44.3125,44.325001,43.299999,43.555,204420400
1/25/2018,43.627499,43.737499,42.6325,42.7775,166116000
1/26/2018,43,43,42.514999,42.877499,156572000
1/29/2018,42.540001,42.540001,41.767502,41.990002,202561600
1/30/2018,41.3825,41.842499,41.174999,41.7425,184192800
1/31/2018,41.717499,42.110001,41.625,41.857498,129915600
2/1/2018,41.7925,42.154999,41.689999,41.945,188923200
2/2/2018,41.5,41.700001,40.025002,40.125,346375200
2/5/2018,39.775002,40.970001,39,39.122501,290954000
2/6/2018,38.7075,40.93,38.5,40.7575,272975200
2/7/2018,40.772499,40.849998,39.767502,39.884998,206434400
2/8/2018,40.072498,40.25,38.7575,38.787498,217562000
2/9/2018,39.267502,39.4725,37.560001,39.102501,282690400
2/12/2018,39.625,40.9725,39.377499,40.677502,243278000
2/13/2018,40.487499,41.1875,40.412498,41.084999,130196800
2/14/2018,40.759998,41.884998,40.720001,41.842499,162579600
2/15/2018,42.447498,43.272499,42.25,43.247501,204588800
2/16/2018,43.09,43.705002,42.942501,43.107498,160704400
2/20/2018,43.012501,43.564999,42.855,42.962502,135722000
2/21/2018,43.2075,43.529999,42.752499,42.767502,149886400
2/22/2018,42.950001,43.487499,42.927502,43.125,123967600
2/23/2018,43.4175,43.912498,43.384998,43.875,135249600
2/26/2018,44.087502,44.8475,44.052502,44.7425,152648800
2/27/2018,44.775002,45.119999,44.540001,44.5975,155712400
2/28/2018,44.814999,45.154999,44.512501,44.529999,151128400
3/1/2018,44.634998,44.945,43.165001,43.75,195208000
3/2/2018,43.200001,44.075001,43.112499,44.052502,153816000
3/5/2018,43.802502,44.435001,43.630001,44.205002,113605600
3/6/2018,44.477501,44.5625,44.032501,44.1675,95154000
3/7/2018,43.735001,43.962502,43.567501,43.7575,126814000
3/8/2018,43.869999,44.279999,43.767502,44.235001,95096400
3/9/2018,44.490002,45,44.3475,44.994999,128740800
3/12/2018,45.072498,45.5975,45.052502,45.43,128828400
3/13/2018,45.647499,45.875,44.810001,44.9925,126774000
3/14/2018,45.080002,45.130001,44.452499,44.610001,117473600
3/15/2018,44.625,45.060001,44.517502,44.662498,90975200
3/16/2018,44.662498,44.779999,44.404999,44.505001,157618800
3/19/2018,44.330002,44.3675,43.415001,43.825001,133787200
3/20/2018,43.810001,44.200001,43.735001,43.810001,78597600
3/21/2018,43.759998,43.772499,42.814999,42.817501,148219600
3/22/2018,42.5,43.169998,42.150002,42.212502,165963200
3/23/2018,42.0975,42.48,41.235001,41.235001,164115200
3/26/2018,42.017502,43.275002,41.610001,43.192501,150164800
3/27/2018,43.419998,43.787498,41.73,42.084999,163690400
3/28/2018,41.8125,42.505001,41.297501,41.619999,166674000
3/29/2018,41.952499,42.9375,41.724998,41.945,153594000
4/2/2018,41.66,42.235001,41.1175,41.669998,150347200
4/3/2018,41.91,42.1875,41.220001,42.0975,121112000
4/4/2018,41.220001,43.002499,41.192501,42.9025,138422000
4/5/2018,43.145,43.557499,43.02,43.200001,107732800
4/6/2018,42.7425,43.119999,42.049999,42.095001,140021200
4/9/2018,42.470001,43.272499,42.462502,42.512501,116070800
4/10/2018,43.25,43.5,42.8825,43.3125,113634400
4/11/2018,43.057499,43.48,42.924999,43.110001,89726400
4/12/2018,43.352501,43.75,43.259998,43.535,91557200
4/13/2018,43.695,43.959999,43.462502,43.682499,100497200
4/16/2018,43.7575,44.047501,43.7075,43.955002,86313600
4/17/2018,44.122501,44.735001,44.102501,44.560001,106421600
4/18/2018,44.452499,44.705002,44.220001,44.459999,83018000
4/19/2018,43.439999,43.8475,43.165001,43.200001,139235200
4/20/2018,42.650002,42.805,41.357498,41.43,261964400
4/23/2018,41.7075,41.73,41.022499,41.310001,146062000
4/24/2018,41.4175,41.5825,40.305,40.735001,134768000
4/25/2018,40.654999,41.355,40.602501,40.912498,113528400
4/26/2018,41.029999,41.432499,40.842499,41.055,111852000
4/27/2018,41,41.0825,40.157501,40.580002,142623200
4/30/2018,40.532501,41.814999,40.459999,41.314999,169709600
5/1/2018,41.602501,42.299999,41.317501,42.275002,214277600
5/2/2018,43.807499,44.4375,43.450001,44.142502,266157600
5/3/2018,43.970001,44.375,43.610001,44.2225,136272800
5/4/2018,44.5625,46.0625,44.5425,45.9575,224805200
5/7/2018,46.294998,46.9175,46.1875,46.290001,169805600
5/8/2018,46.247501,46.555,45.9175,46.512501,113611200
5/9/2018,46.637501,46.849998,46.305,46.84,92844800
